Référence;EAN 13;EAN 14 SPCB;EAN 14 PCB;Désignation;PCB;SPCB;Longueur PCB (cm);Largeur PCB (cm);Hauteur PCB (cm);Poids PCB (kg);Poids UVC;Volume (m3)
21370010;3118220032453;;;CUILLERE BREGANÇON FINITION SABLEE VRAC + GENCOD;120.0;6.0;32.5;24.5;21.0;11.58;0.0965;0.01672125
21370011;3118220032460;;;CAFE BREGANÇON FINITION SABLEE VRAC + GENCOD;120.0;6.0;30.0;20.0;17.5;5.049;0.042075;0.0105
21380001;3118220026025;13118220026022;23118220026029;M16 NOIRMOUTIER  FINITION MIROIR 18/10 BOITE PREMIUM;6.0;6.0;30.5;28.0;30.5;10.768;1.7946666666666669;0.026046999999999997
21390001;3118220026445;13118220026442;23118220026449;M16 BAMBOU EN BOITE TB COLLECTION;6.0;6.0;30.0;27.0;32.0;6.788;1.1313333333333333;0.025920000000000002
21390002;3118220026452;13118220026459;23118220026456;COUTEAU BAMBOU + GENCOD;120.0;6.0;27.0;26.0;19.5;8.98;0.07483333333333334;0.013689
21390003;3118220026469;13118220026466;23118220026463;FOURCHETTE BAMBOU + GENCOD;120.0;6.0;27.5;25.5;21.5;6.72;0.056;0.015076875
21390004;3118220026476;13118220026473;23118220026470;CUILLERE BAMBOU + GENCOD;120.0;6.0;27.0;25.5;21.5;8.44;0.07033333333333333;0.014802750000000002
21390005;3118220026483;13118220026480;23118220026487;CAFE BAMBOU + GENCOD;120.0;6.0;28.0;18.5;18.0;4.2;0.035;0.009324
21420001;3118220026711;;;COUTEAU PALACE 18/10 PROMOCASH;72.0;12.0;30.0;22.0;18.0;6.048;0.084;0.011880000000000002
21420003;3118220026735;;;CUILLERE PALACE 18/10 PROMOCASH;72.0;12.0;36.5;21.0;18.0;6.85;0.09513888888888888;0.013796999999999999
21420004;3118220026742;;;CAFE PALACE 18/10 PROMOCASH;72.0;12.0;30.0;22.5;12.5;2.088;0.029;0.0084375
21420005;3118220045972;;;M24 PALACE 18/10;6.0;6.0;40.0;31.0;27.0;10.7;1.7833333333333332;0.033479999999999996
21430001;3118220026759;13118220026756;23118220026753;COUTEAU CAPITOL EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;16.5;7.416;0.10300000000000001;0.01089
21430002;3118220026766;13118220026763;23118220026760;FOURCHETTE CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.0;4.248;0.059000000000000004;0.01122
21430003;3118220026773;13118220026770;23118220026777;CUILLERE CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.0;5.472;0.07600000000000001;0.01122
21430004;3118220026780;13118220026787;23118220026784;CAFE CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;12.5;2.376;0.033;0.00825
21430005;3118220026797;13118220026794;23118220026791;COUTEAU STEAK CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;16.5;7.2;0.1;0.01089
21430006;3118220026803;13118220026800;23118220026807;COUTEAU DESSERT CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;18.0;5.04;0.07;0.011880000000000002
21430007;3118220026810;13118220026817;23118220026814;FOURCHETTE DESSERT CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.0;3.528;0.049;0.01122
21430008;3118220026827;13118220026824;23118220026821;CUILLERE DESSERT CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.5;4.464;0.062000000000000006;0.01155
21430009;3118220026834;13118220026831;23118220026838;COUTEAU POISSON CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;18.5;3.744;0.052000000000000005;0.01221
21430010;3118220026841;13118220026848;23118220026845;FOURCHETTE POISSON CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.5;3.456;0.048;0.01155
21430011;3118220026858;13118220026855;23118220026852;FOURCHETTE HUITRE CAPITOL 18/0 EN BOITE PEGBOARDABLE;72.0;12.0;30.5;22.0;13.0;1.8;0.025;0.008722999999999998
21440001;3118220026902;13118220026909;23118220026906;COUTEAU GUINGUETTE EN BOITE PEGB TB COLLECTION;72.0;12.0;36.5;21.5;15.0;7.344;0.10200000000000001;0.01177125
21440002;3118220026919;13118220026916;23118220026913;FOURCHETTE  GUINGUETTE EN BOITE PEGB TB COLLECTION;72.0;12.0;30.0;22.0;18.0;3.744;0.052000000000000005;0.011880000000000002
21440003;3118220026926;13118220026923;23118220026920;CUILLERE  GUINGUETTE EN BOITE PEGB TB COLLECTION;72.0;12.0;30.5;22.0;18.5;5.184;0.07200000000000001;0.0124135
21440004;3118220026933;13118220026930;23118220026937;CAFE GUINGUETTE EN BOITE PEGB TB COLLECTION;72.0;12.0;30.0;22.0;12.5;1.944;0.027;0.00825
21450001;3118220026940;13118220026947;23118220026944;COUTEAU RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;30.5;22.0;16.5;5.85;0.08124999999999999;0.011071499999999998
21450002;3118220026957;13118220026954;23118220026951;FOURCHETTE RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;17.0;3.744;0.052000000000000005;0.01122
21450003;3118220026964;13118220026961;23118220026968;CUILLERE RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;36.0;22.0;18.0;4.104;0.057;0.014255999999999998
21450004;3118220026971;13118220026978;23118220026975;CAFE RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;30.5;19.0;12.0;1.728;0.024;0.006954
21450005;3118220026988;13118220026985;23118220026982;COUTEAU STEAK RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;30.5;22.0;16.5;6.12;0.085;0.011071499999999998
21450006;3118220026995;13118220026992;23118220026999;COUTEAU DESSERT RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;36.5;21.5;15.0;3.6;0.05;0.01177125
21450007;3118220027008;13118220027005;23118220027002;FOURCHETTE DESSERT RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;36.0;22.0;18.0;2.808;0.039;0.014255999999999998
21450008;3118220027015;13118220027012;23118220027019;CUILLERE DESSERT RIVAGE EN BOITE PEGBOARDABLE;72.0;12.0;30.5;22.0;18.5;2.808;0.039;0.0124135
21450009;3118220031692;;;COUTEAU RIVAGE BOITE DE 12;72.0;12.0;27.0;12.0;6.5;5.04;0.07;0.0021060000000000002
21460001;3118220027022;13118220027029;23118220027026;COUTEAU FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;36.0;22.0;15.5;6.16;0.08555555555555555;0.012275999999999999
21460002;3118220027039;13118220027036;23118220027033;FOURCHETTE FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;19.0;3.384;0.047;0.01254
21460003;3118220027046;13118220027043;23118220027040;CUILLERE FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;36.5;21.5;18.0;3.816;0.053;0.0141255
21460004;3118220027053;13118220027050;23118220027057;CAFE FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;30.0;21.0;15.0;1.44;0.02;0.00945
21460005;3118220027060;13118220027067;23118220027064;COUTEAU DESSERT FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;18.0;4.586;0.06369444444444444;0.011880000000000002
21460006;3118220027077;13118220027074;23118220027071;FOURCHETTE DESSERT FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;36.5;21.5;18.0;2.376;0.033;0.0141255
21460007;3118220027084;13118220027081;23118220027088;CUILLERE DESSERT FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;31.0;21.5;17.5;2.808;0.039;0.011663749999999999
21460008;3118220027091;13118220027098;23118220027095;FOURCHETTE TAPAS FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.0;13.0;1.332;0.018500000000000003;0.00858
21460009;3118220027107;13118220027104;23118220027101;CUILLERE TAPAS FUSEAU EN BOITE PEGBOARDABLE;72.0;12.0;30.0;22.5;13.0;0.936;0.013000000000000001;0.008775
21460010;3118220030381;13118220030388;23118220030385;COUTEAU FUSEAU + GENCOD;144.0;12.0;27.0;20.0;21.5;11.376;0.079;0.01161
21460011;3118220030398;13118220030395;23118220030392;FOURCHETTE FUSEAU + GENCOD;144.0;12.0;25.0;23.5;16.5;6.691;0.04646527777777778;0.00969375
21460012;3118220030404;13118220030401;23118220030408;CUILLERE FUSEAU + GENCOD;144.0;12.0;25.0;23.5;16.5;7.488;0.052000000000000005;0.00969375
21460013;3118220030411;13118220030418;23118220030415;CAFE FUSEAU + GENCOD;144.0;12.0;22.0;18.0;15.0;2.776;0.019277777777777776;0.00594
21460014;3118220030428;13118220030425;23118220030422;COUTEAU DESSERT FUSEAU + GENCOD;144.0;12.0;25.0;23.5;16.5;8.352;0.058;0.00969375
21460015;3118220030435;13118220030432;23118220030439;FOURCHETTE DESSERT FUSEAU + GENCOD;144.0;12.0;25.0;23.5;16.5;4.668;0.03241666666666667;0.00969375
21460016;3118220030442;13118220030449;23118220030446;CUILLERE DESSERT FUSEAU + GENCOD;144.0;12.0;25.0;23.5;16.5;5.328;0.037000000000000005;0.00969375
21460017;3118220030459;13118220030456;23118220030453;FOURCHETTE TAPAS FUSEAU + GENCOD;144.0;12.0;22.0;18.0;15.0;1.584;0.011000000000000001;0.00594
21460018;3118220030466;13118220030463;23118220030460;CUILLERE TAPAS FUSEAU + GENCOD;144.0;12.0;22.0;18.0;15.0;1.584;0.011000000000000001;0.00594
21460019;3118220030480;;;M24 FUSEAU BOITE TB COLLECTION;6.0;6.0;30.0;28.0;32.0;7.332;1.222;0.02688
21460020;3118220032965;;;M48 FUSEAU BOITE TB COLLECTION;3.0;3.0;30.0;26.0;31.0;5.418;1.806;0.02418
21470001;3118220027305;;;COUTEAU PICNIC PROMOCASH;72.0;12.0;25.5;17.5;13.0;5.04;0.07;0.005801250000000001
21470007;3118220030503;;;M24 PICNIC BOITE TB COLLECTION;6.0;6.0;30.0;28.5;31.0;6.417;1.0695;0.026504999999999997
21480001;3118220027374;13118220027371;23118220027378;COUTEAU BASIQUE;288.0;12.0;27.0;19.5;18.0;19.17;0.06656250000000001;0.009477
21480002;3118220027381;13118220027388;23118220027385;FOURCHETTE BASIQUE;288.0;12.0;23.5;19.5;19.0;12.62;0.04381944444444444;0.00870675
21480003;3118220027398;13118220027395;23118220027392;CUILLERE BASIQUE;288.0;12.0;31.0;23.0;23.0;14.784;0.051333333333333335;0.016399
21480004;3118220027404;13118220027401;23118220027408;CAFE BASIQUE;288.0;12.0;26.0;16.0;17.0;4.776;0.016583333333333332;0.007071999999999999
21480005;3118220030497;;;M24 ESSENTIEL BOITE TB COLLECTION;6.0;6.0;30.0;28.0;32.0;7.081;1.1801666666666668;0.02688
21520001;3118220029132;13118220029139;23118220029136;M16 LAGUIOLE INTUITION BRILLANT EN BOITE LAGUIOLE;6.0;6.0;30.0;25.0;31.0;6.682;1.1136666666666668;0.023249999999999996
21520002;3118220029149;13118220029146;23118220029143;M16 LAGUIOLE INTUITION SATINE EN BOITE LAGUIOLE;6.0;6.0;30.0;25.0;31.0;6.672;1.1119999999999999;0.023249999999999996
21520003;3118220029156;13118220029153;23118220029150;COUTEAU LAGUIOLE INTUITION BRILLANT + GENCOD;120.0;6.0;27.0;23.0;22.0;11.52;0.096;0.013662000000000002
21520004;3118220029163;13118220029160;23118220029167;FOURCHETTE LAGUIOLE INTUITION BRILLANT + GENCOD;120.0;6.0;27.0;26.0;23.0;7.061;0.05884166666666667;0.016146
21520005;3118220029170;13118220029177;23118220029174;CUILLERE LAGUIOLE INTUITION BRILLANT + GENCOD;120.0;6.0;27.0;26.0;23.0;8.397;0.069975;0.016146
21520006;3118220029187;13118220029184;23118220029181;CAFE LAGUIOLE INTUITION BRILLANT + GENCOD;240.0;6.0;22.0;18.5;45.0;7.267;0.03027916666666667;0.018314999999999998
21520007;3118220029194;13118220029191;23118220029198;COUTEAU LAGUIOLE INTUITION SATINE + GENCOD;120.0;6.0;27.0;23.0;22.0;10.32;0.08600000000000001;0.013662000000000002
21520008;3118220029200;13118220029207;23118220029204;FOURCHETTE LAGUIOLE INTUITION SATINE + GENCOD;120.0;6.0;27.0;26.0;23.0;6.0;0.05;0.016146
21520009;3118220029217;13118220029214;23118220029211;CUILLERE LAGUIOLE INTUITION SATINE + GENCOD;120.0;6.0;27.0;26.0;23.0;8.397;0.069975;0.016146
21520010;3118220029224;13118220029221;23118220029228;CAFE LAGUIOLE INTUITION SATINE + GENCOD;240.0;6.0;22.0;18.5;45.0;6.0;0.025;0.018314999999999998
21520011;3118220034082;13118220034089;23118220034086;M16 LAGUIOLE INTUITION METAL PVD NOIR MAT BOITE LAG BLEUE;6.0;6.0;30.0;26.0;31.0;6.234;1.039;0.02418
21520012;3118220034099;13118220034096;23118220034093;M16 LAGUIOLE INTUITION METAL PVD OR MAT BOITE LAG BLEUE;6.0;6.0;30.0;26.0;31.0;6.234;1.039;0.02418
21520013;3118220034105;;;M16 LAGUIOLE INTUITION SABLEE BOITE LAG BLEUE;6.0;6.0;30.0;26.0;31.0;6.234;1.039;0.02418
21520014;3118220034112;;;M16 LAGUIOLE INTUITION MIXTE BOITE LAG BLEUE;6.0;6.0;30.0;26.0;31.0;6.572;1.0953333333333333;0.02418
21520015;3118220034365;13118220034362;23118220034369;COUTEAU LAGUIOLE INTUITION METAL PVD NOIR MAT + GENCOD;240.0;6.0;34.0;27.0;27.0;20.4;0.08499999999999999;0.024786000000000006
21520016;3118220034372;13118220034379;23118220034376;FOURCHETTE LAGUIOLE INTUITION METAL PVD NOIR MAT + GENCOD;240.0;6.0;41.5;24.5;26.5;12.72;0.053000000000000005;0.026943874999999996
21520017;3118220034389;13118220034386;23118220034383;CUILLERE LAGUIOLE INTUITION METAL PVD NOIR MAT + GENCOD;240.0;6.0;41.0;24.5;27.0;16.96;0.07066666666666667;0.0271215
21520018;3118220034396;13118220034393;23118220034390;CAFE LAGUIOLE INTUITION METAL PVD NOIR MAT + GENCOD;240.0;6.0;34.5;17.5;27.0;6.24;0.026000000000000002;0.01630125
21520019;3118220034655;;;M32 PCS LAGUIOLE INTUITION MIROIR BOITE LAGUIOLE BLEUE;6.0;6.0;30.0;27.0;51.0;11.465;1.9108333333333334;0.04131
21520020;3118220034709;;;M32 PCS LAGUIOLE INTUITION SATINE BOITE LAGUIOLE BLEUE;6.0;6.0;30.0;27.0;51.0;11.01;1.835;0.04131
21520021;3118220038660;13118220038667;23118220038664;COUTEAU LAGUIOLE INTUITION PVD OR MAT + GENCOD;240.0;6.0;34.5;28.0;28.0;22.213;0.09255416666666667;0.027048000000000003
21520022;3118220038677;13118220038674;23118220038671;FOURCHETTE LAGUIOLE INTUITION PVD OR MAT + GENCOD;240.0;6.0;42.0;25.0;27.0;13.958;0.05815833333333333;0.02835
21520023;3118220038684;13118220038681;23118220038688;CUILLERE LAGUIOLE INTUITION PVD OR MAT + GENCOD;240.0;6.0;43.0;25.0;27.0;16.554;0.068975;0.029025
21520024;3118220038691;13118220038698;23118220038695;CAFE LAGUIOLE INTUITION PVD OR MAT + GENCOD;240.0;6.0;35.0;18.0;27.0;7.232;0.030133333333333335;0.01701
21520025;3118220042391;;;COUTEAU LAGUIOLE INTUITION SATINE EN BOITE PEGBOARDABLE;72.0;12.0;19.0;13.5;30.0;6.87;0.09541666666666666;0.007695
21520026;3118220042407;;;FOURCHETTE LAGUIOLE INTUITION SATINE EN BOITE PEGBOARDABLE;72.0;12.0;19.0;16.0;28.0;4.274;0.059361111111111114;0.008511999999999999
21520027;3118220042414;;;CUILLERE LAGUIOLE INTUITION SATINE EN BOITE PEGBOARDABLE;72.0;12.0;25.0;17.0;29.0;5.277;0.07329166666666667;0.012325000000000001
21520028;3118220042421;;;CAFE LAGUIOLE INTUITION SATINE EN BOITE PEGBOARDABLE;72.0;12.0;20.0;13.0;22.5;2.324;0.03227777777777777;0.005850000000000001
21520029;3118220042438;;;COUTEAU DESSERT LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;19.0;16.0;27.0;3.717;0.051625000000000004;0.008208
21520030;3118220042445;;;FOURCHETTE DESSERT LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;18.0;13.0;23.0;2.196;0.030500000000000003;0.005381999999999999
21520032;3118220042469;13118220042466;23118220042463;COUTEAU POISSON LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;18.0;16.0;27.0;3.832;0.05322222222222222;0.007776
21520033;3118220042476;;;FOURCHETTE POISSON LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;18.0;16.0;27.0;3.589;0.04984722222222222;0.007776
21520034;3118220042483;;;CUILLERE MAZAGRAN LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;19.0;17.0;27.0;2.65;0.03680555555555556;0.008721000000000001
21520035;3118220042490;;;CUILLERE MOKA LAGUIOLE INTUITION SATINE EN BOITE PEGB;72.0;12.0;20.0;13.0;23.0;1.461;0.020291666666666666;0.005980000000000001
21520037;3118220043442;13118220043449;23118220043446;M16 LAGUIOLE INTUITION BELLE SAISON EN BOITE LAGUIOLE;6.0;6.0;30.0;27.0;30.0;6.725;1.1208333333333333;0.024300000000000002
21520038;3118220043459;13118220043456;23118220043453;M16 LAGUIOLE INTUITION JUNGLE EN BOITE LAGUIOLE;6.0;6.0;30.0;27.0;30.0;6.749;1.1248333333333334;0.024300000000000002
21520039;3118220043541;13118220043548;23118220043545;M16 LAGUIOL INTUITION METAL PVD CHAMPAGNE MAT BOIT LAG BLEUE;6.0;6.0;30.5;26.0;30.0;6.723;1.1205;0.02379
21520040;3118220043558;13118220043555;23118220043552;COUTEAU LAGUIOLE INTUITION PVD CHAMPAGNE MAT + GENCOD;240.0;6.0;34.0;27.5;26.0;22.141;0.09225416666666666;0.024310000000000005
21520041;3118220043565;13118220043562;23118220043569;FOURCHETTE LAGUIOLE INTUITION PVD CHAMPAGNE MAT + GENCOD;240.0;6.0;41.5;24.5;26.5;13.813;0.05755416666666667;0.026943874999999996
21520042;3118220043572;13118220043579;23118220043576;CUILLERE LAGUIOLE INTUITION PVD CHAMPAGNE MAT + GENCOD;240.0;6.0;42.5;25.0;27.0;16.606;0.06919166666666668;0.028687499999999998
21520043;3118220043589;13118220043586;23118220043583;CAFE LAGUIOLE INTUITION PVD CHAMPAGNE MAT + GENCOD;240.0;6.0;34.5;18.0;27.0;7.139;0.029745833333333336;0.016766999999999997
21520044;3118220043596;;;M16 LAGUIOLE INTUITION METAL PVD BRONZE MAT BOITE LAG BLEUE;6.0;6.0;30.5;26.5;30.0;6.687;1.1145;0.024247499999999998
21520045;3118220043602;;;COUTEAU LAGUIOLE INTUITION PVD BRONZE MAT + GENCOD;240.0;6.0;34.0;28.0;26.0;22.122;0.09217499999999999;0.024752
21520046;3118220043619;;;FOURCHETTE LAGUIOLE INTUITION PVD BRONZE MAT + GENCOD;240.0;6.0;43.0;25.5;26.0;14.145;0.0589375;0.028508999999999996
21520047;3118220043626;;;CUILLERE LAGUIOLE INTUITION PVD BRONZE MAT + GENCOD;240.0;6.0;42.0;25.5;27.0;17.129;0.07137083333333334;0.028916999999999998
21520048;3118220043633;;;CAFE LAGUIOLE INTUITION PVD BRONZE MAT + GENCOD;240.0;6.0;34.5;18.0;27.0;6.972;0.029050000000000003;0.016766999999999997
21520049;3118220043893;;;M16 LAGUIOLE INTUITION BRILLANT EN BOITE LAGUIOLE;12.0;12.0;45.0;34.0;31.0;13.352;1.1126666666666667;0.04743
21520050;3118220043909;;;M16 LAGUIOLE INTUITION SATINE EN BOITE LAGUIOLE;12.0;12.0;45.0;34.0;31.0;13.352;1.1126666666666667;0.04743
21290012;3118220028487;;;CAFE MAZARIN MANCHE NOIR TETE INOX BROSSE + GENCOD;240.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
21549902;3118220030343;;;M16 BAGATELLE REVÊTEMENT PVD GOLD MAT BOITE TB COLLECTION;6.0;6.0;30.0;27.0;31.0;6.582;1.097;0.02511
21549904;3605757169276;;;M16 MASA ( BAGATELLE) MAT BOITE ALINEA (27169285);6.0;6.0;30.0;26.5;31.0;6.828;1.1380000000000001;0.024644999999999997
21549905;3118220032279;13118220032276;23118220032273;COUTEAU BAGATELLE REVÊTEMENT PVD MAT VRAC + GENCOD;120.0;6.0;29.0;28.0;21.0;14.76;0.123;0.017051999999999998
21549906;3118220032286;13118220032283;23118220032280;FOURCHETTE BAGATELLE REVÊTEMENT PVD MAT VRAC + GENCOD;240.0;6.0;45.0;26.0;25.0;12.48;0.052000000000000005;0.02925
21549907;3118220032293;13118220032290;23118220032297;CUILLERE BAGATELLE REVÊTEMENT PVD MAT VRAC + GENCOD;240.0;6.0;45.0;26.0;25.0;14.88;0.062000000000000006;0.02925
21549908;3118220032309;13118220032306;23118220032303;CAFE BAGATELLE REVÊTEMENT PVD MAT VRAC + GENCOD;240.0;6.0;45.5;18.0;22.0;7.981;0.03325416666666667;0.018018
21549909;3118220032316;13118220032313;23118220032310;COUTEAU  BAGATELLE FINITION POLI MIROIR VRAC + GENCOD;120.0;6.0;29.0;27.5;20.5;12.6;0.105;0.016348750000000002
21549910;3118220032323;13118220032320;23118220032327;FOURCHETTE BAGATELLE FINITION POLI MIROIR VRAC + GENCOD;240.0;6.0;45.0;25.0;25.0;12.64;0.05266666666666667;0.028125
21549911;3118220032330;13118220032337;23118220032334;CUILLERE BAGATELLE FINITION POLI MIROIR VRAC + GENCOD;240.0;6.0;44.5;25.0;26.0;15.92;0.06633333333333333;0.028925
21549912;3118220032347;13118220032344;23118220032341;CAFE BAGATELLE FINITION POLI MIROIR VRAC + GENCOD;240.0;6.0;15.0;17.5;21.5;7.72;0.03216666666666666;0.0056437499999999995
21549915;3118220035188;;;COUTEAU BAGATELLE FINITION OR VRAC + GENCOD;120.0;6.0;29.0;28.0;21.0;12.48;0.10400000000000001;0.017051999999999998
21549916;3118220035195;;;FOURCHETTE BAGATELLE FINITION OR VRAC + GENCOD;240.0;6.0;45.0;26.0;25.0;12.72;0.053000000000000005;0.02925
21549917;3118220035201;;;CUILLERE BAGATELLE FINITION OR VRAC + GENCOD;240.0;6.0;45.0;26.0;25.0;16.16;0.06733333333333333;0.02925
21549918;3118220035218;;;CAFE BAGATELLE FINITION OR VRAC + GENCOD;240.0;6.0;44.5;18.0;21.5;7.72;0.03216666666666666;0.0172215
21549919;3118220038912;;;M16 BAGATELLE PVD NOIR MAT TOP CHEF;6.0;6.0;30.5;27.0;31.0;7.259;1.2098333333333333;0.0255285
21600001;3118220032484;13118220032481;23118220032488;M16 ARABESQUE FINITION MIROIR BOITE TB COLLECTION;6.0;6.0;31.0;27.5;30.0;6.372;1.062;0.025575
21600002;3118220032507;13118220032504;23118220032501;COUTEAU ARABESQUE FINITION MIROIR VRAC+GENCOD;120.0;12.0;29.5;27.5;13.5;12.36;0.103;0.010951874999999998
21600003;3118220032514;13118220032511;23118220032518;FOURCHETTE ARABESQUE FINITION MIROIR VRAC+GENCOD;240.0;12.0;30.0;25.5;25.5;12.28;0.051166666666666666;0.0195075
21600004;3118220032521;13118220032528;23118220032525;CUILLERE ARABESQUE FINITION MIROIR VRAC+GENCOD;240.0;12.0;30.0;25.5;25.5;13.92;0.058;0.0195075
21600005;3118220032538;13118220032535;23118220032532;CAFE ARABESQUE FINITION MIROIR VRAC+GENCOD;240.0;12.0;30.0;25.5;25.5;7.8;0.0325;0.0195075
21600006;3118220040533;13118220040530;23118220040537;COUTEAU ARABESQUE  PVD NOIR MAT VRAC+GENCOD;120.0;12.0;29.0;27.0;13.0;12.809;0.10674166666666667;0.010179
21600007;3118220040540;13118220040547;23118220040544;FOURCHETTE ARABESQUE PVD NOIR MAT VRAC+GENCOD;240.0;12.0;27.0;24.5;23.0;12.731;0.053045833333333334;0.015214499999999999
21600008;3118220040557;13118220040554;23118220040551;CUILLERE ARABESQUE PVD NOIR MAT+GENCOD;240.0;12.0;27.0;24.5;23.0;14.076;0.05865;0.015214499999999999
21600009;3118220040564;13118220040561;23118220040568;CAFE ARABESQUE PVD NOIR MAT+GENCOD;240.0;12.0;27.0;24.5;23.0;6.717;0.0279875;0.015214499999999999
21600010;3118220040571;;;COUTEAU ARABESQUE PVD CUIVRE MAT VRAC+GENCOD;120.0;12.0;29.0;27.0;13.0;13.177;0.10980833333333333;0.010179
21600011;3118220040588;;;FOURCHETTE ARABESQUE PVD CUIVRE MAT VRAC+GENCOD;240.0;12.0;27.0;24.5;23.0;12.758;0.05315833333333333;0.015214499999999999
21600012;3118220040595;;;CUILLERE ARABESQUE PVD CUIVRE MAT+GENCOD;240.0;12.0;27.0;24.5;23.0;14.081;0.05867083333333333;0.015214499999999999
21600013;3118220040601;;;CAFE ARABESQUE PVD CUIVRE MAT+GENCOD;240.0;12.0;27.0;24.5;23.0;6.694;0.027891666666666665;0.015214499999999999
21600014;3118220040618;13118220040615;23118220040612;COUTEAU ARABESQUE  PVD CHAMPAGNE MAT VRAC+GENCOD;120.0;12.0;28.0;27.0;12.0;12.932;0.10776666666666666;0.009072
21600015;3118220040625;13118220040622;23118220040629;FOURCHETTE ARABESQUE PVD CHAMPAGNE MAT VRAC+GENCOD;240.0;12.0;27.5;25.5;20.5;12.78;0.05325;0.014375625000000001
21600016;3118220040632;13118220040639;23118220040636;CUILLERE ARABESQUE PVD CHAMPAGNE MAT+GENCOD;240.0;12.0;28.0;25.0;21.0;14.684;0.06118333333333333;0.014700000000000001
21600017;3118220040649;13118220040646;23118220040643;CAFE ARABESQUE PVD CHAMPAGNE  MAT+GENCOD;240.0;12.0;27.0;17.5;17.5;7.934;0.033058333333333335;0.008268750000000002
21600018;3118220046160;;;M16 ARABESQUE PVD CHAMPAGNE MAT;6.0;6.0;40.0;32.0;26.0;6.85;1.1416666666666666;0.033280000000000004
21520059;3118220053779;13118220053776;23118220053773;SET 12 PCS POUR M16 LAGUIOLE INTUITION BRILLANT;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
21600019;3118220046177;;;M16 ARABESQUE PVD OR MAT;6.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
21610001;3118220032491;13118220032498;23118220032495;M16 DAMIER FINITION MIROIR BOITE TB COLLECTION;6.0;6.0;31.0;27.5;31.0;6.749;1.1248333333333334;0.026427500000000003
21610002;3118220032545;13118220032542;23118220032549;COUTEAU DAMIER FINITION MIROIR VRAC+GENCOD;120.0;12.0;29.5;27.5;13.5;11.28;0.094;0.010951874999999998
21610003;3118220032552;13118220032559;23118220032556;FOURCHETTE DAMIER FINITION MIROIR VRAC+GENCOD;240.0;12.0;30.0;25.5;25.5;12.9;0.05375;0.0195075
21610004;3118220032569;13118220032566;23118220032563;CUILLERE DAMIER FINITION MIROIR VRAC+GENCOD;240.0;12.0;29.5;27.5;13.5;14.88;0.062000000000000006;0.010951874999999998
21610005;3118220032576;13118220032573;23118220032570;CAFE DAMIER FINITION MIROIR VRAC+GENCOD;240.0;12.0;30.0;25.5;25.5;7.2;0.030000000000000002;0.0195075
21620002;3118220044562;;;MENAGERE 48 PIECES VARIO INOX EN RANGE COUVERT NOIR;6.0;6.0;30.5;20.5;29.0;8.945;1.4908333333333335;0.01813225
21630001;3118220035133;;;M16 MANDOLINE BOITE TB COLLECTION;6.0;6.0;30.0;26.0;31.0;7.314;1.219;0.02418
21630002;3118220035140;;;COUTEAU MANDOLINE VRAC + GENCOD;144.0;12.0;26.5;26.5;20.0;15.84;0.11;0.014044999999999998
21630003;3118220035157;;;FOURCHETTE MANDOLINE VRAC + GENCOD;144.0;12.0;23.0;22.5;26.0;7.776;0.054;0.013455
