Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
448744;FOURCHETTE EVOLUTION CUIR ARDOISE COOL GREY 11C+GENCOD;EVOLUTION LEATHER FORK DARK GREY + EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487440;0;0;82159910000.0;1.5;215;45;18/0;16-18; /;ABS + Mat varnish;Grey 11C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 16;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;30.0;33.0;24.5;0.024255;0.047
448750;CUILLERE EVOLUTION CUIR LIN 7535C+GENCOD;EVOLUTION CUIR SPOON BEIGE 7535 BULK+ EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487501;0;0;82159910000.0;1.5;215;54;18/0;16-18; /;ABS + Mat varnish;Beige 7535C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 16;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;22.0;48.0;24.5;0.025871999999999996;0.0615
448754;CUILLERE EVOLUTION CUIR ARDOISE COOL GREY 11C+GENCOD;EVOLUTION LEATHER SPOON DARK GREY + EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487549;0;0;82159910000.0;1.5;215;54;18/0;16-18; /;ABS + Mat varnish;Grey 11C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 X 16;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;22.0;48.0;24.5;0.025871999999999996;0.055
448760;CAFE EVOLUTION CUIR LIN 7535C+GENCOD;EVOLUTION CUIR TEASPOON BEIGE 7535 BULK+ EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487600;0;0;82159910000.0;1.5;147;25;18/0;16-18; /;ABS + Mat varnish;Beige 7535C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 14;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;22.0;42.0;18.0;0.016632;0.030291666666666665
448764;CAFE EVOLUTION CUIR ARDOISE COOL GREY 11C+GENCOD;EVOLUTION CUIR TEASPOON DARK GREY + EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487648;0;0;82159910000.0;1.5;147;25;18/0;16-18; /;ABS + Mat varnish;Grey 11C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 14;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;22.0;42.0;18.0;0.016632;0.02
917854;HOUSSE BIVOUAC KAKI;KNIFE CASE BIVOUAC IN KAKI;LUPO;2013-10-01;Composant;Vrac;1.0;3118229178541; /; /;4202329090.0;1.2;150;235;50; /;Adhesive tapes;Synthetic material;Kaki; /; /; /; /; /; /; /; /;;;;;;;;10.0;600.0;14.0;31.0;29.0;0.012586000000000002;0.004166666666666667
10010152;EPLUCHEUR CERAMIQUE SIPLEC10300667 LAME BLANCHE BLISTER PEGB;CERAMIC PEELER UNDER BLISTER SIPLEC 10300667;SURPASS;2016-01-19;Céramique;Vrac;1.0;3601029888692;23660444375426;23660444138892;69120029000.0;1.5; /;;Ceramic; /;White blade;ABS;Black; /; /; /; /; /; /; /; /;;Each piece under a blister pack and a color card - then 6 blister in a carton box with sticker (french designation - barcode - quantity - n° lot written as a barcode - quantity) - then 3 boxes in an outer carton (=18 pieces);;;;;;6.0;18.0;13.0;38.0;29.0;0.014325999999999998;0.07888888888888888
10010153;OFFICE CERAMIQUE SIPLEC10300664 LAME BLANCHE BLISTER PEGB;CERAMIC PARING UNDER BLISTER SIPLEC 10300664;SURPASS;2016-01-19;Céramique;Vrac;1.0;3601029888715;23660444375358;23660444139097;69120029000.0;1.5;80;;Ceramic; /;White blade;ABS;Black; /; /; /; /; /;HOMESIDE;20 x 2,5;Cöté tranchant;;Each piece under a blister pack and a color card - then 6 blister in a carton box with sticker (french designation - barcode - quantity - n° lot written as a barcode - quantity) - then 3 boxes in an outer carton (=18 pieces);;;;;;6.0;18.0;13.0;28.5;28.5;0.010559249999999997;0.06794444444444445
10010154;CUISINE CERAMIQUE SIPLEC10300663 LAME BLANCHE BLISTER PEGB;CERAMIC KITCHEN UNDER BLISTER SIPLEC 10300663;SURPASS;2016-01-19;Céramique;Vrac;1.0;3601029888661;23660444375341;23660444138861;69120029000.0;1.5;130;;Ceramic; /;White blade;ABS;Black; /; /; /; /; /;HOMESIDE;20 x 2,5;Cöté tranchant;;Each piece under a blister pack and a color card - then 6 blister in a carton box with sticker (french designation - barcode - quantity - n° lot written as a barcode - quantity) - then 3 boxes in an outer carton (=18 pieces);;;;;;6.0;18.0;14.5;36.0;33.0;0.017225999999999998;0.12644444444444444
10010155;CHEF 15 CERAMIQUE SIPLEC10300662 LAME BLANCHE BLISTER PEGB;CERAMIC CHEF UNDER BLISTER SIPLEC 10300662;SURPASS;2016-01-19;Céramique;Vrac;1.0;3601029888654;23660444375334;23660444138854;69120029000.0;1.8;150;;Ceramic; /;White blade;ABS;Black; /; /; /; /; /;HOMESIDE;24,5 x 3;Cöté tranchant;;Each piece under a blister pack and a color card - then 6 blister in a carton box with sticker (french designation - barcode - quantity - n° lot written as a barcode - quantity) - then 3 boxes in an outer carton (=18 pieces);;;;;;6.0;18.0;16.0;37.0;32.0;0.018944000000000003;0.16727777777777778
