Référence;Description FR;Description ENG;Fournisseur;Date céation;Gamme;Lot/Vrac;Nombre de pièce;EAN 13;EAN 14 SPCB;EAN 14 PCB;Nomenclature;"Epaisseur
(mm)";"Longueur 
(mm)";"Poids 
(g)";"Matière lame/
haut de couvert";Chrome %;Finition;"Matière manche/
produit";"Pantone/Motif manche
N°1";"Pantone/Motif manche
N°2";"Pantone/Motif manche
N°3";"Pantone/Motif manche
N°4";"Pantone/Motif manche
N°5";"Pantone/Motif manche
N°6";Marquage;"Dimensions marquage
(mm)";"Emplacement du
marquage";Artwork;How to pack;Matière Packaging;"Poids Packaging
(g)";"Hauteur Packaging 
(cm)";"Longueur Packaging
(cm)";"Largeur Packaging
(cm)";SPCB;PCB;"Hauteur PCB
(cm)";"Longueur PCB
(cm)";"Largeur PCB
(cm)";"Volume PCB
(cmb)";"Poids PCB
(kg)"
444451;FOURCHETTE ACIDULE BEE GRIS 430C +GENCOD;BEE ACIDULE FORK GREY IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444511;0;0;82119100000.0;2;215;49;18/0;16-18; /;AS/ABS;Grey 430C; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 13;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;144.0;26.0;29.0;25.0;0.01885;0.05704861111111111
444452;FOURCHETTE ACIDULE BEE BLANC +GENCOD;BEE ACIDULE FORK WHITE IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444528;13118224444525;23118224444522;82119100000.0;2;215;49;18/0;16-18; /;AS/ABS;White; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 13;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;144.0;26.0;29.0;25.0;0.01885;0.051000000000000004
444454;FOURCHETTE ACIDULE BEE TURQUOISE 3135C +GENCOD;BEE ACIDULE TURQUOISE FORK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444542;0;0;82119100000.0;2;215;49;18/0;16-18; /;AS/ABS;Turquoise 3135C; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 13;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;144.0;26.0;29.0;25.0;0.01885;0.05704861111111111
444459;FOURCHETTE ACIDULE BEE NOIR CARBONE +GENCOD;BEE ACIDULE FORK BLACK CARBON;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444597;13118224444594;23118224444591;82159910000.0;2;215;49;18/0;16-18; /;AS/ABS;Black carbon; /; /; /; /; /;LAGUIOLE HERITAGE;4 x 13;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;144.0;26.0;29.0;25.0;0.01885;0.051000000000000004
444460;CUILLERE ACIDULE BEE ROUGE 185C+GENCOD;BEE ACIDULE SPOON RED IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444603;13118224444600;23118224444607;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;Red 185C; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.06504861111111111
444461;CUILLERE ACIDULE BEE GRIS 430C +GENCOD;BEE ACIDULE SPOON GREY IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444610;0;0;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;Grey 430C ; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.05766666666666667
444462;CUILLERE ACIDULE BEE BLANC +GENCOD;BEE ACIDULE SPOON WHITE IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444627;13118224444624;23118224444621;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;White; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.060000000000000005
444464;CUILLERE ACIDULE BEE TURQUOISE 3135C +GENCOD;BEE ACIDULE TURQUOISE SPOON;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444641;0;0;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;Turquoise 3135C; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.061666666666666675
444468;CUILLERE ACIDULE BEE ANIS 583C +GENCOD;BEE ACIDULE SPOON LIGHT GREEN IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444689;0;0;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;Green 583C; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.06504861111111111
444469;CUILLERE ACIDULE BEE NOIR CARBONE +GENCOD;BEE ACIDULE SPOON BLACK CARBON;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444696;13118224444693;23118224444690;82159910000.0;2;212;55;18/0;16-18;/;AS/ABS;Black carbon; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;26.0;23.0;25.0;0.014950000000000001;0.060000000000000005
444470;CAFE ACIDULE BEE ROUGE 185C +GENCOD;BEE ACIDULE TEASPOON RED IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444702;13118224444709;23118224444706;82159910000.0;1.5;145;25;18/0;16-18; /;AS/ABS;Red 185C;/;/;/;/;/;LAGUIOLE HERITAGE;4 X 13;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;23.0;28.5;20.5;0.013437749999999997;0.025
444472;CAFE ACIDULE BEE BLANC +GENCOD;BEE ACIDULE TEASPOON WHITE IN BULK;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444726;13118224444723;23118224444720;82159910000.0;1.5;145;25;18/0;16-18; /;AS/ABS;White;/;/;/;/;/;LAGUIOLE HERITAGE;4 X 13;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;23.0;28.5;20.5;0.013437749999999997;0.026000000000000002
444474;CAFE ACIDULE BEE TURQUOISE 3135C +GENCOD;BEE ACIDULE TURQUOISE TEASPOON;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444740;0;0;82159910000.0;1.5;145;25;18/0;16-18; /;AS/ABS;Turquoise 3135C;/;/;/;/;/;LAGUIOLE HERITAGE;4 X 13;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;23.0;28.5;20.5;0.013437749999999997;0.03139583333333333
444479;CAFE ACIDULE BEE NOIR CARBONE +GENCOD;BEE ACIDULE TEASPOON BLACK CARBON;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224444795;13118224444792;23118224444799;82159910000.0;1.5;145;25;18/0;16-18; /;AS/ABS;Black carbon;/;/;/;/;/;LAGUIOLE HERITAGE;4 X 13;Derrière tête;Non;Boite blanche neutre;Carton;;;;;6.0;144.0;23.0;28.5;20.5;0.013437749999999997;0.024333333333333332
444840;COUTEAU INEDIT UNION JACK;UNION JACK TABLE KNIFE;HONGXING;2013-09-23;Union Jack;Vrac;1.0;3118224448403;13118224448400;23118224448407;82119100000.0;1.5;223;43;2CR14;13;Mirror polishing;Printing + UV treatment;Union jack pattern; /; /; /; /; /;TB COLLECTION;2 x 18;Côté dentelure;;;;;;;;6.0;240.0;27.0;35.5;28.5;0.02731725;0.043000000000000003
444850;FOURCHETTE INEDIT UNION JACK;UNION JACK TABLE FORK;HONGXING;2013-09-23;Union Jack;Vrac;1.0;3118224448502;13118224448509;23118224448506;82159910000.0;1.5;200;35;18/0;16-18;Mirror polishing;Printing + UV treatment;Union jack pattern; /; /; /; /; /;TB COLLECTION;2,56 x 14,5;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.0405
444860;CUILLERE INEDIT UNION JACK;UNION JACK TABLE SPOON;HONGXING;2013-09-23;Union Jack;Vrac;1.0;3118224448601;13118224448608;23118224448605;82159910000.0;1.5;200;51;18/0;16-18;Mirror polishing;Printing + UV treatment;Union jack pattern; /; /; /; /; /;TB COLLECTION;2 X 15,50;Derrière tête;;;;;;;;6.0;240.0;27.5;42.5;25.0;0.02921875;0.050333333333333334
444870;CAFE INEDIT UNION JACK;UNION JACK TABLE TEASPOON;HONGXING;2013-09-23;Union Jack;Vrac;1.0;3118224448700;13118224448707;23118224448704;82159910000.0;1.5;150;25;18/0;16-18;Mirror polishing;Printing + UV treatment;Union jack pattern; /; /; /; /; /;TB COLLECTION;2 x 14;Derrière tête;;;;;;;;6.0;240.0;27.5;35.0;19.0;0.018287499999999998;0.028
445200;COFFRET BOIS 6 CX LAG BOIS NOIR TRADITION;6 TRADITION LAGUIOLE KNIVES BLACK WOOD HDL IN BOX;GUANGWEI;2013-09-23;Laguiole;Lot;6.0;3118224452004;13118224452001;23118224452008;82159910000.0;;;;;;;;;;;;;;;;;;;;;;;;6.0;6.0;18.5;29.5;17.0;0.00927775;0.9121666666666667
445210;COFFRET BOIS 6 CX LAG BOIS CLAIR TRADITION;6 TRADITION LAGUIOLE KNIVES LIGHT WOOD HDL IN BOX;GUANGWEI;2013-09-23;Laguiole;Lot;6.0;3118224452103;13118224452100;23118224452107;82119100000.0;2.5;230;82;3CR14;13; /;Pakka wood or zebra wood;Wood; /; /; /; /; /;LAGUIOLE HERITAGE + ACIER INOX ABOVE BOLSTER;4 x 13;Côté lame;;;;;;;;6.0;6.0;18.5;29.5;17.0;0.00927775;0.875
445376;EPLUCHEUR ACIDULE BEE COUL PANACH EN BTE DE 12;ACIDULE PEELER WITH SLEEVE;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224453766;13118224453763;23118224453760;82159910000.0;;;;;;;;;;;;;;LAGUIOLE HERITAGE;2 x 27 ;Côté dentelure;Non;Boite blanche neutre;Carton;;;;;12.0;144.0;17.5;24.5;22.5;0.009646875000000001;0.028
445386;OFFICE ACIDULE BEE COUL PANACH EN BTE DE 12;"""ACIDULE"" PARING KNIFE WITH SLEEVE";HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224453865;13118224453862;23118224453869;82159910000.0;1.5;192;32;2CR14;13; /;AS/ABS;Turquoise 3135C;Red 185 C;Green 368C;Pink 226C;Black carbon;Transparent white;LAGUIOLE HERITAGE;4 x 13;Côté tranchant;Aucun;Each piece with a pvc film shrunk on blade with a sticker (french description - barcode - n° lot - Imported by - picto) - then 12 pieces in silk paper together (2 pieces of each colour) in a white box with sticker (description - barcode - N° lot written as a barcode - quantity ) - then 12 white boxes in a master carton ( = 144 pieces) with EAN 13 and EAN 14;Carton et film pvc;26;7.5;20.1;3.7;12.0;144.0;19.0;25.0;23.0;0.010925;0.034
445706;BEURRE ACIDULE BEE COUL PANACH EN BTE DE 12;ACIDULES SPREADER WITH SLEEVE;HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224457061;13118224457068;23118224457065;82159910000.0;1.5;170;34;2CR14;13; /;AS/ABS;Turquoise 3135C;Red 185 C;Green 368C;Pink 226C;Black carbon;Transparent white;LAGUIOLE HERITAGE;4 x 13;Côté tranchant;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;;;;;12.0;144.0;18.0;24.5;23.0;0.010143;0.035
446000;COUTEAU ACIDULE BEE PANACHE;"""ACIDULE"" STEAK KNIFE MIXED COLOURS";HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224460009;13118224460006;23118224460003;82159910000.0;1.5;235;43;2CR14;13; /;AS/ABS;Red 185C;Pink 226C;Green 368C;Black Carbon;Turquoise 3135C;Transparent white;LAGUIOLE HERITAGE;4 x 13;Côté dentelure;Non;Boîte blanche neutre;Carton;34;5.2;25;6;12.0;144.0;21.5;26.5;26.0;0.014813500000000002;0.044000000000000004
446040;FROMAGE ACIDULE BEE PANACHE VERT-ROSE-TURQ-RGE-NOIR-BLC;"""ACIDULE"" CHEESE KNIFE WITH SLEEVE";HONGXING;2013-09-23;Acidule;Vrac;1.0;3118224460405;13118224460402;23118224460409;82159910000.0;;;;;;;;;;;;;;LAGUIOLE HERITAGE;;;Non;Boîte blanche neutre;Carton;;;;;12.0;144.0;21.0;26.0;26.0;0.014196;0.048
447780;FOUET ACIDULE COUL PANACHE SACHET+GENCOD;EGG BEATER LAG. ACIDULE NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224477809;13118224477806;23118224477803;82055100000.0;2;217;43;18/0;16-18;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 10;Entre tête et manche;Non;Boîte blanche neutre;Carton;46;7.6;25.1;10.7;12.0;144.0;35.0;36.0;24.5;0.03087;0.046
447790;RAPE ACIDULE COUL PANACHE SACHET+GENCOD;GRATER ACIDULE NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224477908;13118224477905;23118224477902;82055100000.0;2;218;54;18/0;16-18;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;3 x 9;Entre tête et manche;Non;Boîte blanche neutre;Carton;45;7.7;23.9;8.7;12.0;144.0;33.0;27.5;25.5;0.023141250000000002;0.055
447800;EPLUCHEUR FIL Y ACIDULE COUL PANACHE SACHET+GENCOD;Y SHAPE PEELER NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478004;13118224478001;23118224478008;82119200000.0;2;185;45;2CR14;13;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 13;Devant tête;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;36;8.5;22.8;8;12.0;144.0;36.0;28.5;25.0;0.02565;0.047
447810;CUILLERE A GLACE ACIDULE COUL PANACHE SACHET+GENCOD;ICE CREAM SPOON ACIDULE ASSORTED COLOR + POLYBAG;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478103;13118224478100;23118224478107;82055100000.0;2;212;55;18/0;16-18;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;5 x 17;Derrière tête;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;;;;;12.0;144.0;28.5;26.0;24.0;0.017784;0.05841666666666667
447830;ZESTEUR ACIDULE COUL PANACHE SACHET+GENCOD;LEMON PEELER ACIDULE ASSORTED COLOR + POLYBAG;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478301;13118224478308;23118224478305;82055100000.0;2;155;34;2CR14;13; /;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 14;Entre tête et manche;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;13;4.3;17.2;7.5;12.0;144.0;18.0;25.0;18.0;0.0081;0.035
447840;OUVRE BOUTEILLE ACIDULE COUL PANACHE SACHET+GENCOD;BOTTLE OPENER ACIDULE ASSORTED COLOR + POLYBAG;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478400;0;0;82055100000.0;;157;38;;;/;AS/ABS;Red 032C;Blue 7687C;Green 5763C;Pink 7647C;Yellow 7752C;Turquoise 7715C;LAGUIOLE HERITAGE;;;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;;;;;12.0;144.0;18.0;29.0;18.0;0.009396;0.04125
447850;EPLUCHEUR TOMATE ACIDULE COUL PANACHE SACHET+GENCOD;TOMATO PEELER ACIDULE NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478509;13118224478506;23118224478503;82119200000.0;2;170;46;2CR14;13;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 12;Entre tête et manche;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;21;4.2;17.5;8.5;12.0;144.0;29.0;22.0;20.0;0.01276;0.04691666666666667
447860;ROULETTE A PIZZA ACIDULE COUL PANACHE SACHET+GENCOD;PIZZA CUTTER ACIDULE NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478608;13118224478605;23118224478602;82055100000.0;2;120;63;18/0;16-18;/;AS/ABS;Red 032C;Blue 7687C;Green 5763C;Pink 7647C;Yellow 7752C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 12;Devant tête;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;77;8.7;23.2;10;12.0;144.0;36.0;31.0;23.5;0.026226;0.068
447870;PINCEAU SILICONE ACIDULE COUL PANACHE SACHET+GENCOD;SILICONE BRUSH ACIDULE NEW ASSORTED COLORS;GUANGWEI;2013-09-23;Acidule;Vrac;1.0;3118224478707;13118224478704;23118224478701;82055100000.0;2;205;55;18/0;16-18;/;AS/ABS;Yellow 7752C;Blue 7687C;Green 5763C;Pink 7647C;Red 032C;Turquoise 7715C;LAGUIOLE HERITAGE;4 x 13;Entre tête et manche;Non;Each piece with sticker (see picture hereunder) then 6 pieces (one piece each color) wrapped one by one in silk paper then 12 pieces assorted colors (2 of each color) in a neutral box with sticker (description- quantity- n°lot written as a barcode and barcode) - then 12 neutral boxes in a master (=144 pieces assorted colors).;Carton;34;8;255;6.5;12.0;144.0;33.0;30.5;23.5;0.023652749999999997;0.06461805555555555
448730;COUTEAU EVOLUTION CUIR LIN 7535C+GENCOD;EVOLUTION CUIR KNIFE BEIGE 7535 BULK+ EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487303;0;0;82119100000.0;1.8;233;45;2CR14;13; /;ABS + Mat varnish;Beige 7535C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 16;Côté dentelure;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;26.0;32.5;25.5;0.0215475;0.050499999999999996
448734;COUTEAU EVOLUTION CUIR ARDOISE COOL GREY 11C+GENCOD;EVOLUTION LEATHER KNIFE DARK GREY + EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487341;0;0;82119100000.0;1.8;233;45;2CR14;13; /;ABS + Mat varnish;Grey 11C false leather; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 16;Côté dentelure;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;32.0;35.0;27.5;0.0308;0.050166666666666665
448740;FOURCHETTE EVOLUTION CUIR LIN 7535C+GENCOD;EVOLUTION CUIR FORK BEIGE 7535 BULK+ EAN;HONGXING;2013-09-27;Cuir;Vrac;1.0;3118224487402;0;0;82159910000.0;1.5;215;45;18/0;16-18; /;ABS + Mat varnish;Beige 7535C false leather ; /; /; /; /; /;LAGUIOLE HERITAGE;5 x 16;Derrière tête;Non;Boîte blanche neutre;Carton;;;;;6.0;240.0;30.0;33.0;24.5;0.024255;0.048
